# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cpu/cycles/P'
# Event count (approx.): 2174006282803
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.87%    99.17%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.85%--evaluate_packet
                       |          
                        --0.52%--0xffffffffaaa00f0b

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |          
             --0.52%--0xffffffffaaa00f0b

     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98ea5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7b95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae021ce
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c056
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad3644c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9bb5
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadef011
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa011e7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015ea
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae26c35
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaef1d9a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0123b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5176d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01b07
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbbca7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0118f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadd323d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02ba3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf2755
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabea6e31
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c39
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab0ac447
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee6e95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaacee41d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaafee208
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaafee190
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027a4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadd323a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeda60a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad3644f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad0c052
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01936
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab62c899
