# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cpu/cycles/P'
# Event count (approx.): 23326754558
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    95.11%    94.21%  msfw     msfw                  [.] evaluate_packet
            |          
             --94.88%--evaluate_packet

     4.34%     4.11%  msfw     msfw                  [.] parse_packet
            |          
             --4.11%--parse_packet
                       |          
                        --0.65%--memcpy (inlined)

     1.42%     0.95%  msfw     msfw                  [.] main
            |          
             --1.01%--main

     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaafee5a9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec6d1b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d1f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadeefcd
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefd4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaeda60e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b59
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeda614
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf4e44
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ba5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4e4d
